dis,sta,add,das,state,cha,fee,way,ope,sty,no,Latitude,Longitude
永和區,聯盟車業行,新北市永和區秀朗路一段42號,機車經銷商,良好,否,不收費,無,是,無,1,25.0064472,121.5146539
永和區,立晟車業有限公司,新北市永和區保平路213號一樓,機車經銷商,良好,否,不收費,無,是,無,1,25.0047061,121.5086391
永和區,翔龍機車行,新北市永和區國中路102號,機車經銷商,無測試,是,10元,無,是,無,1,25.0065718,121.5241052
汐止區,石田機車行,新北市汐止區大同路二段290號,機車經銷商,良好,否,不收費,無,是,無,1,25.0663185,121.6550966
汐止區,勝川機車行,新北市汐止區大同路二段683號1樓,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0722965,121.6648879
汐止區,清波車業有限公司,新北市汐止區忠孝東路273號1樓,機車經銷商,良好,否,不收費,無,是,充電座,4,25.068327,121.6636723
汐止區,永湛車業有限公司,新北市汐止區福德一路278號1樓,機車經銷商,良好,否,不收費,無,是,插頭式,6,25.0638196,121.6320249
林口區,正陽車業有限公司,新北市林口區中正路173號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.0772086,121.3924641
板橋區,忠山機車行,新北市板橋區文化路1段205號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.0187829,121.4652441
板橋區,繼郎機車有限公司,新北市板橋區四川路一段381號,機車經銷商,良好,否,不收費,無,是,插頭式,2,24.9993757,121.4582551
板橋區,昇龍國際車業有限公司,新北市板橋區民生路三段179號,機車經銷商,良好,否,不收費,無,是,插頭式,1,25.0272065,121.4653726
板橋區,永督機車行,新北市板橋區民族路178號,機車經銷商,良好,否,不收費,無,是,插頭式,1,25.0076531,121.4677167
板橋區,銘汰車業行,新北市板橋區光武路26號1F,機車經銷商,良好,否,不收費,無,是,充電座,1,25.0073935,121.4604628
板橋區,益昌機車行,新北市板橋區西門街24號,機車經銷商,良好,否,不收費,無,是,插頭式,1,25.0104803,121.4538485
板橋區,上野車業有限公司,新北市板橋區忠孝路83號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.002345,121.4620212
板橋區,明興機車行,新北市板橋區長江路1段359號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0286899,121.4575914
板橋區,晉新輪業有限公司,新北市板橋區長江路二段197號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0323556,121.4673304
板橋區,僑王車業有限公司,新北市板橋區華興街42號1F,機車經銷商,良好,否,不收費,無,是,充電座,1,25.0047756,121.4584116
板橋區,永定機車行,新北市板橋區溪昆二街8號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9919943,121.4289499
板橋區,通天車業有限公司,新北市板橋區實踐路171號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0037696,121.4645732
板橋區,萬光機車行,新北市板橋區漢生西路60號,機車經銷商,良好,否,不收費,無,是,插頭式,1,25.0189059,121.463173
板橋區,連盛車業,新北市板橋區雙十路二段67號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0266426,121.4762565
泰山區,榮泰機車行,新北市泰山區明志路二段333號,機車經銷商,良好,否,不收費,無,是,充電座,1,25.0448168,121.4257273
泰山區,大運車輛企業有限公司,新北市泰山區泰林路二段178號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0607929,121.4337789
貢寮區,利祥機車行,新北市貢寮區仁和路244號,機車經銷商,良好,否,不收費,無,是,插頭式,2,25.0538457,121.9240732
淡水區,永群車業有限公司,新北市淡水區中山北路1段247巷68號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.1772423,121.4434614
淡水區,加益車業有限公司,新北市淡水區中山北路一段307號1樓,機車經銷商,良好,否,不收費,無,是,充電座,4,25.1815207,121.4442998
淡水區,樺龍車業有限公司,新北市淡水區中正東路43號1樓,機車經銷商,良好,否,不收費,無,是,充電座,4,25.1682295,121.4464424
淡水區,德欣機車行,新北市淡水區北新路74號,機車經銷商,良好,否,不收費,無,是,插頭式,6,25.1781774,121.446466
淡水區,盛偉機車行,新北市淡水區民權路183之2號,機車經銷商,良好,是,10元/次,投幣,是,無,1,25.1343952,121.459666
深坑區,鼎祐車業行,新北市深坑區北深路二段84號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.003627,121.6175246
三重區,上暉車業有限公司,新北市三重區三和路三段40號,機車經銷商,良好,否,不收費,無,是,插頭式,2,25.0707169,121.4960837
板橋區,北門車業有限公司,新北市板橋區西門街12號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0115858,121.4555652
板橋區,錕達車業有限公司,新北市板橋區重慶路349號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.997949,121.4642067
新店區,香港車業有限公司,新北市新店區北新路一段29號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9591321,121.5377163
新店區,群英輪業有限公司,新北市新店區建國路135號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9783807,121.5391678
蘆洲區,金大機車有限公司,新北市蘆洲區中山一路63號,機車經銷商,良好,否,不收費,無,是,充電座,5,25.0810106,121.4783862
新店區,進揚車業有限公司,新店區北新路一段287號一樓,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9671169,121.541003
新店區,裕正機車行,新店區民族路182號,機車經銷商,良好,否,不收費,無,是,充電座,1,24.9763349,121.536919
新店區,裕成機車行,新店區民族路245號,機車經銷商,良好,否,不收費,無,是,充電座,1,24.9753899,121.5364409
新店區,新祥輪業有限公司,新店區光明街117號,機車經銷商,良好,否,不收費,無,是,充電座,1,24.961529,121.539175
新店區,霸輪機車行,新店區安和路三段169號,機車經銷商,良好,否,不收費,無,是,充電座,1,24.9859897,121.5159506
新店區,昇宏車業有限公司,新店區安康路3段28號1F,機車經銷商,良好,否,不收費,無,是,充電座,1,24.953285,121.4930702
新店區,真亨車業有限公司,新店區順安街21號1樓,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9856178,121.5408472
新莊區,榮鋒科技企業有限公司,新北市新莊區新北大道二段360 號,機車經銷商,良好,否,不收費,無,是,充電座,1,25.0609913,121.4625143
新莊區,昇億機車行,新北市新莊區中平路82巷32號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0446678,121.4461625
新莊區,五洲機車有限公司,新北市新莊區中正路346號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.03455,121.444169
新莊區,SYM新北市服務中心,新北市新莊區中正路57號,機車經銷商,良好,否,不收費,無,是,充電座,3,24.9997161,121.4267417
新莊區,巨陽車業行,新北市新莊區中和街90號1F,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0466903,121.4477245
新莊區,桄昇車業有限公司,新北市新莊區思源路165號一樓,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0448834,121.4596448
新莊區,昇旺國際車業有限公司,新北市新莊區復興路二段18號一樓,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0438931,121.4541708
樹林區,勝龍車業行,新北市樹林區大成路1、3號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9447845,121.3824718
樹林區,樹福車業有限公司,新北市樹林區中山路一段54號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9921116,121.4236535
樹林區,泰利車業行,新北市樹林區太元街36號,機車經銷商,良好,否,不收費,無,是,插頭式,2,24.9800388,121.4181099
樹林區,裕晟機車有限公司,新北市樹林區太元街64號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9792933,121.4185646
樹林區,昇豐車業行,新北市樹林區太平路150巷7號,機車經銷商,良好,否,不收費,無,是,無,1,24.9776314,121.4182292
樹林區,駿億車業有限公司,新北市樹林區保安二街43號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9941186,121.4247257
樹林區,譽盛機車有限公司,新北市樹林區鎮前街271-3號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9857709,121.4197882
蘆洲區,萬達車業行,新北市蘆洲區中華街74號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0797536,121.4612402
鶯歌區,景陽車業有限公司,新北市鶯歌區中正三路341號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9351085,121.328039
鶯歌區,陽全車業有限公司,新北市鶯歌區文化路385號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9506262,121.3524663
汐止區,郭賜美車業,新北市汐止區大同路二段669號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.071995,121.6648484
新莊區,必榮機車材料行,新北市新莊區民安西路365號,機車經銷商,良好,是,10元/次,,是,無,1,25.010475,121.4287
淡水區,永群車業有限公司,新北市淡水區中山北路一段245號,機車經銷商,良好,是,10元/次,,是,充電座,1,25.1801379,121.4444733
林口區,林口車業有限公司,新北市林口區林口路52號,機車經銷商,良好,是,10元/次,,是,充電座,2,25.0790603,121.3905015
泰山區,威騎車業有限公司,新北市泰山區泰林路二段593號,機車經銷商,良好,否,不收費,,否,無,1,25.0634128,121.4217375
新店區,祥義車業有限公司,新北市新店區碧安街7巷9號,機車經銷商,良好,是,10元/次,,是,無,2,24.9679659,121.5167337
瑞芳區,瑞輪車業有限公司,新北市瑞芳區明燈路三段74號,機車經銷商,良好,是,10元/次,,是,充電座,2,25.1081613,121.8064253
新莊區,裕大車業有限公司,新北市新莊區新泰路339號,機車經銷商,良好,是,10元/次,,是,充電座,2,25.0419436,121.444698
中和區,豪呈機車有限公司,新北市中和區成功路109號一樓,機車經銷商,良好,是,10元/次,,是,充電座,2,24.9912367,121.5259674
萬里區,台順車業有限公司,新北市萬里區瑪鋉路290號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.1814038,121.6885815
永和區,永欣車業有限公司,新北市永和區中山路一段82-86號,機車經銷商,良好,否,不收費,無,是,充電箱,1,25.0109886,121.5120759
淡水區,立冠車業有限公司,新北市淡水區中山路137-1號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.1714611,121.4408363
新店區,全新車業有限公司,新北市新店區安康路二段3-3號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,24.9635331,121.5155179
新店區,吉興車業行,新北市新店區北新路一段331號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,24.9686303,121.541572
板橋區,有利車業有限公司,新北市板橋區互助街94號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0262557,121.4601467
汐止區,宏升機車有限公司,新北市汐止區大同路二段503號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0687621,121.6609803
三重區,和昌輪業有限公司,新北市三重區車路頭街33號,機車經銷商,良好,是,50元/次,人工收費,是,充電箱,4,25.0708295,121.4838645
永和區,和欣機車有限公司,新北市永和區中正路653號,機車經銷商,良好,是,10元/次,無,是,插頭式,2,25.0100853,121.5150734
土城區,東泰發車業有限公司,新北市土城區清水路240號,機車經銷商,良好,是,30元/次,人工收費,是,充電箱,4,24.982608,121.4612378
